millis,state,yaw_deg,pitch_deg,roll_deg,ax_G,ay_G,az_G,pressure_kPa,altitude_ft
12408,GROUND,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12410,GROUND,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12413,GROUND,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12416,GROUND,138.997,-57.245,-171.445,-0.855,0.102,0.481,100.196,309.600
12419,GROUND,138.969,-57.229,-171.396,-0.851,0.092,0.477,100.207,306.577
12422,GROUND,138.932,-57.213,-171.333,-0.829,0.109,0.477,100.207,306.577
12425,GROUND,138.883,-57.192,-171.254,-0.812,0.116,0.479,100.207,306.577
12428,GROUND,138.844,-57.173,-171.182,-0.819,0.093,0.476,100.196,309.600
12431,GROUND,138.844,-57.173,-171.182,-0.819,0.093,0.476,100.196,309.600
12433,GROUND,138.844,-57.173,-171.182,-0.819,0.093,0.476,100.196,309.600
12435,GROUND,138.844,-57.173,-171.182,-0.819,0.093,0.476,100.196,309.600
12438,GROUND,138.844,-57.173,-171.182,-0.819,0.093,0.476,100.196,309.600
12442,GROUND,138.816,-57.156,-171.120,-0.828,0.079,0.474,100.207,306.577
12445,GROUND,138.802,-57.135,-171.073,-0.840,0.072,0.475,100.211,305.476
12448,GROUND,138.768,-57.012,-170.984,-1.002,-0.095,0.560,100.207,306.577
12452,GROUND,138.681,-57.036,-170.979,-0.824,0.058,0.539,100.207,306.577
12455,GROUND,138.604,-57.054,-170.954,-0.759,0.097,0.536,100.207,306.577
12458,GROUND,138.543,-57.052,-170.914,-0.726,0.120,0.565,100.207,306.577
12461,GROUND,138.505,-57.028,-170.868,-0.755,0.121,0.549,100.196,309.600
12463,GROUND,138.505,-57.028,-170.868,-0.755,0.121,0.549,100.196,309.600
12466,GROUND,138.505,-57.028,-170.868,-0.755,0.121,0.549,100.196,309.600
12468,GROUND,138.505,-57.028,-170.868,-0.755,0.121,0.549,100.196,309.600
12470,GROUND,138.505,-57.028,-170.868,-0.755,0.121,0.549,100.196,309.600
12475,GROUND,138.492,-56.990,-170.837,-0.789,0.100,0.521,100.218,303.544
12478,GROUND,138.498,-56.940,-170.818,-0.827,0.105,0.505,100.211,305.476
12481,GROUND,138.517,-56.881,-170.798,-0.853,0.127,0.482,100.222,302.444
12484,GROUND,138.550,-56.819,-170.787,-0.875,0.104,0.465,100.211,305.476
12487,GROUND,138.596,-56.755,-170.787,-0.877,0.102,0.458,100.211,305.476
12491,GROUND,138.596,-56.755,-170.787,-0.877,0.102,0.458,100.211,305.476
12494,GROUND,138.596,-56.755,-170.787,-0.877,0.102,0.458,100.211,305.476
12497,GROUND,138.596,-56.755,-170.787,-0.877,0.102,0.458,100.211,305.476
12501,GROUND,138.653,-56.694,-170.797,-0.874,0.100,0.454,100.196,309.600
12504,GROUND,138.720,-56.637,-170.816,-0.869,0.098,0.454,100.207,306.577
12507,GROUND,138.795,-56.587,-170.843,-0.865,0.094,0.457,100.196,309.600
12510,GROUND,138.878,-56.544,-170.879,-0.860,0.090,0.463,100.211,305.476
12513,GROUND,138.967,-56.510,-170.925,-0.861,0.083,0.476,100.207,306.577
12516,GROUND,138.967,-56.510,-170.925,-0.861,0.083,0.476,100.207,306.577
12519,GROUND,138.967,-56.510,-170.925,-0.861,0.083,0.476,100.207,306.577
12521,GROUND,138.967,-56.510,-170.925,-0.861,0.083,0.476,100.207,306.577
12527,GROUND,139.060,-56.484,-170.978,-0.861,0.080,0.477,100.207,306.577
12530,GROUND,139.157,-56.462,-171.040,-0.856,0.075,0.499,100.207,306.577
12533,GROUND,139.256,-56.442,-171.110,-0.852,0.075,0.511,100.207,306.577
12536,GROUND,139.357,-56.421,-171.187,-0.841,0.071,0.530,100.207,306.577
12540,GROUND,139.453,-56.399,-171.266,-0.821,0.065,0.542,100.211,305.476
12542,GROUND,139.453,-56.399,-171.266,-0.821,0.065,0.542,100.211,305.476
12545,GROUND,139.453,-56.399,-171.266,-0.821,0.065,0.542,100.211,305.476
12548,GROUND,139.453,-56.399,-171.266,-0.821,0.065,0.542,100.211,305.476
12553,GROUND,139.540,-56.372,-171.335,-0.827,0.085,0.538,100.211,305.476
12556,GROUND,139.622,-56.339,-171.400,-0.831,0.064,0.540,100.207,306.577
12560,GROUND,139.699,-56.302,-171.466,-0.841,0.056,0.546,100.218,303.544
12563,GROUND,139.771,-56.260,-171.531,-0.851,0.049,0.546,100.207,306.577
12566,GROUND,139.834,-56.217,-171.594,-0.855,0.035,0.549,100.196,309.600
12569,GROUND,139.834,-56.217,-171.594,-0.855,0.035,0.549,100.196,309.600
12571,GROUND,139.834,-56.217,-171.594,-0.855,0.035,0.549,100.196,309.600
12574,GROUND,139.834,-56.217,-171.594,-0.855,0.035,0.549,100.196,309.600
12580,GROUND,139.892,-56.174,-171.651,-0.867,0.040,0.539,100.211,305.476
